id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
69,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",MD2YuRl94Fz,WT08A,Measles - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT08
70,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",W76e0DKlJ4c,WT08B,Measles - Received,Vaccine Availability And Wastage,2.6.4,WT08
71,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",kxwF7G5Sa9i,WT08C,Measles - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT08
72,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",BnJW6UAa9nj,WT08D,Measles - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT08
73,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",c4DJHtoOxR5,WT09A,Yellow Fever - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT09
74,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",FHnkrOy9cyJ,WT09B,Yellow Fever - Received,Vaccine Availability And Wastage,2.6.4,WT09
75,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",qnUDnMdP4Bl,WT09C,Yellow Fever - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT09
76,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",lnwoasEJlj6,WT09D,Yellow Fever - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT09
77,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",Vm17iJeYWrM,WT10A,Td - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT10
78,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",rn9w80fi5rI,WT10B,Td - Received,Vaccine Availability And Wastage,2.6.4,WT10
79,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",lmpQmvOtybC,WT10C,Td - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT10
80,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",fTonlL3eWFE,WT10D,Td - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT10
81,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",gl4CRezThOQ,WT11A,HPV - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT11
82,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",SELnREPYiGs,WT11B,HPV - Received,Vaccine Availability And Wastage,2.6.4,WT11
83,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",S3sJne8SfDt,WT11C,HPV - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT11
84,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",HIRzx2RSpRR,WT11D,HPV - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT11
85,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",KkO23okGi5a,WT12A,Malaria - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT12
86,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",ory0dLlfYiD,WT12B ,Malaria - Received,Vaccine Availability And Wastage,2.6.4,WT12
87,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",KhS4mq3zNfA,WT12C,Malaria - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT12
88,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",LwD8GEuedFt,WT12D ,Malaria - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT12
