id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
77,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
78,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
79,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
80,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
81,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,dCKzhhINakS,"20+Yrs, Male"
82,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,huBy3W5qiD2,"29Dys-4Yrs, Female"
83,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,V2OuNTRI6ua,"29Dys-4Yrs, Male"
84,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,Crc5reUlspd,"5-9Yrs, Female"
85,242,MC13,Cervical cancer,1198,Exocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,F1rms8f9I9a,"5-9Yrs, Male"
86,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,wDiX34aiw6i,"0-28Dys, Female"
87,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,zh2zAaHyYQx,"0-28Dys, Male"
88,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,u3CkZqMHfHP,"10-19Yrs, Female"
89,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,c7gvocRdg0f,"10-19Yrs, Male"
90,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,XVHTeecEOM3,"20+Yrs, Female"
91,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,F1rms8f9I9a,"5-9Yrs, Male"
92,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,Crc5reUlspd,"5-9Yrs, Female"
93,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,V2OuNTRI6ua,"29Dys-4Yrs, Male"
94,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,huBy3W5qiD2,"29Dys-4Yrs, Female"
