id,section_id,section_name,hmis_code,dataelement,hmis_name,dataset_id,dataset_code,dataset_name
66,1.3.6,ENT Conditions,EN09,i8cNouFCF3G,Infected pre-auricular sinuses and abscess,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
67,1.3.6,ENT Conditions,EN10,m68a9ZrLHQO,Otitis external,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
68,1.3.6,ENT Conditions,EN11,X66BIwvM6ff,Mastoid abscess,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
69,1.3.6,ENT Conditions,EN12,DfKTKgBdOJ7,Vertigo,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
70,1.3.6,ENT Conditions,EN13,uqferbMcOHI,Tonsillitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
71,1.3.6,ENT Conditions,EN14,fHQ3TvkzU1C,Tonsillar hypertrophy,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
72,1.3.6,ENT Conditions,EN15,ZC2KCP3lhtd,Tinnitus,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
73,1.3.6,ENT Conditions,EN16,h5JApA8gFwD,Head and neck cancers,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
74,1.3.6,ENT Conditions,EN17,PbWaDKchm2a,Other ENT conditions,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
75,1.3.7,Eye Conditions,EC01,P2wDiYT9Ldr,Allergic conjunctivitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
76,1.3.7,Eye Conditions,EC02,PgLUhukgbZu,Bacterial Conjunctivitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
77,1.3.7,Eye Conditions,EC03,i0m5sElYwRw,Ophthalmia neonatorum,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
78,1.3.7,Eye Conditions,EC04,zRqFF1DW2sc,Corneal Ulcers/ Keratitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
79,1.3.7,Eye Conditions,EC05,JHvqNwXb3ze,Un Operable Cataract (>6/60),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
80,1.3.7,Eye Conditions,EC06,NPJww2cAxe0,Operable Cataract (< 6/60),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
81,1.3.7,Eye Conditions,EC07,tnjg6ygBlhw,Refractive errors,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
82,1.3.7,Eye Conditions,EC08,ZJQwEArEIbG,Glaucoma,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
83,1.3.7,Eye Conditions,EC09,YWulguQA8BP,Trachoma,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
84,1.3.7,Eye Conditions,EC10,aN0BNF9yjGq,Vitamin A Deficiency,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
85,1.3.7,Eye Conditions,EC11,qwjm9g7nTXK,Ocular trauma and Burns,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
86,1.3.7,Eye Conditions,EC12,N61ugaqri3E,Diabetic Retinopathy (All stages),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
87,1.3.7,Eye Conditions,EC13,I7sHmCQnXcV,"Chorioretinal, Macular & Vitreous Disorders",RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
88,1.3.7,Eye Conditions,EC14,QrOH2kSY98j,Uveitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
89,1.3.7,Eye Conditions,EC15,NULShPZ7cv4,Endophthalmitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
90,1.3.7,Eye Conditions,EC16,g8X1akwQepA,Corneal scars (Non trachomatous),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
91,1.3.7,Eye Conditions,EC17,E7D5X0ekx24,Tumours,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
92,1.3.7,Eye Conditions,EC18,bPvsis0k7xb,Strabismus ( All types),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
93,1.3.7,Eye Conditions,EC19,oNhhWyhf7Ue,Ptosis and other lid Disorders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
94,1.3.7,Eye Conditions,EC20,BrCt0LZfKOA,Squamous Cell Carcinoma of Conjunctiva,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
95,1.3.7,Eye Conditions,EC21,WLzQBop4xf5,Retinoblastoma,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
96,1.3.7,Eye Conditions,EC22,aZCnbqAFy4S,Other Malignant Tumours,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
97,1.3.7,Eye Conditions,EC23,WIcLelJiOWf,Other Benign Tumours/Growths,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
98,1.3.7,Eye Conditions,EC24,FP3RqnpmLG6,Blindness,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
99,1.3.7,Eye Conditions,EC25,OaRxaiaFBsA,Other eye conditions,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
100,1.3.8,Mental Health,MH05,BZh4mVCAnRo,Brief Psychotic Disorder,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
101,1.3.8,Mental Health,MH07,iZkAtSQFGPh,Schizophrenia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
102,1.3.8,Mental Health,MH08,QfjsXd7x1bg,Bipolar Affective Disorder,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
103,1.3.8,Mental Health,MH09,NFLxn05NzYo,Major Depressive Disorder,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
104,1.3.8,Mental Health,MH10,EzhJ8l2crAe,Anxiety - Phobic Disorders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
105,1.3.8,Mental Health,MH11,pHy5MU4wWO9,Anxiety -Social anxiety Disoders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
106,1.3.8,Mental Health,MH13,fDaXpAMKWNP,Anxiety - Generalized anxiety Disorder,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
107,1.3.8,Mental Health,MH26,V9VrETz61yN,Alcohol Use Disorders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
108,1.3.8,Mental Health,MH33,P6HSldZtd8j,Epilepsy,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
109,1.3.8,Mental Health,MH45,ziVCnB8pm8c,other Childhood Mental Disorders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
110,1.3.8,Mental Health,MH46,YzcV7QwkV0A,other Adult Mental Disorders,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
111,1.3.9,Neuorological Disorders,NE03,ZnJtg4XOHHt,Parkinson's disease,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
112,1.3.9,Neuorological Disorders,NE04,m5DzTPTi7WH,Dementia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
113,1.3.9,Neuorological Disorders,NE07,VsTu0MTG34p,Persons in Coma / Emergency Care,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
114,1.3.9,Neuorological Disorders,NE08,RuSkTA940Cg,Down Syndrome (DS),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
115,1.3.9,Neuorological Disorders,NE09,E5KEHIRuQ4a,CP/PLMD,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
116,1.3.9,Neuorological Disorders,NE11,czdNkXDkNYZ,Learning Disability,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
117,1.3.9,Neuorological Disorders,NE12,dkgtRrKg1CT,"Eating disorders (anorexia, Bulimia, other feeding)",RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
