"id","section_id","section_name","hmis_code","hmis_name","disease_id","five_character_icd_code","four_character_icd_code","disease_name","simplified_name"
131,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4206,J15.9,J159,"Bacterial pneumonia, unspecified","Severe Bacterial Pneumonia, "
132,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD13,Severe Pneumonia,4206,J15.9,J159,"Bacterial pneumonia, unspecified","Severe Bacterial Pneumonia, "
133,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4205,J15.8,J158,Other bacterial pneumonia,''
134,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4204,J15.7,J157,Pneumonia due to Mycoplasma pneumoniae,''
135,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4203,J15.6,J156,Pneumonia due to other Gram-negative bacteria,"Pneumonia due to Gram-negative (aerobic) bacteria NOS, Pneumonia due to Serratia marcescens, "
136,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4202,J15.5,J155,Pneumonia due to Escherichia coli,''
137,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4201,J15.4,J154,Pneumonia due to other streptococci,''
138,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4200,J15.3,J153,"Pneumonia due to streptococcus, group B",''
139,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4199,J15.2,J152,Pneumonia due to staphylococcus,''
140,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4198,J15.1,J151,Pneumonia due to Pseudomonas,''
141,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4197,J15.0,J150,Pneumonia due to Klebsiella pneumoniae,''
142,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4196,J15,J15,"Bacterial pneumonia, not elsewhere classified","Bacterial Pneumonia, bronchopneumonia due to bacteria other than S. pneumoniae and H. influenzae, "
143,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4195,J14,J14,Pneumonia due to Haemophilus influenzae,"Bronchopneumonia due to H. influenzae, "
144,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4194,J13,J13,Pneumonia due to Streptococcus pneumoniae,"Bronchopneumonia due to S. pneumoniae, "
145,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4193,J12.9,J129,"Viral pneumonia, unspecified","Severe Viral Pneumonia, "
146,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4192,J12.8,J128,Other viral pneumonia,''
147,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4191,J12.3,J123,Human metapneumovirus pneumonia,''
148,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4190,J12.2,J122,Parainfluenza virus pneumonia,''
