hmis_id,hmis_code,hmis_name,hmis_section,hmis_section_id,dhis2_dataElement_id,dhis2_code,dhis2_name,dhis2_shortName,dhis2_dataset,dhis2_categoryCombo_id,dhis2_categoryOptionCombo_id,dhis2_categoryOptionCombo_name
500,AN13b,No of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting - No done before 24 weeks of gestation,Antenatal,2.1,o1WgIrJ0wY4,105-AN12B,105-AN12b. No. of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting month - No. done before 24 weeks of gestation,105-AN12b. Obstetric-ultra sound scan any ANC,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
501,AN14,No of pregnant women dewormed,Antenatal,2.1,hiNup9n9txO,XAN13,AN13. No. of pregnant women dewormed,AN13. No. of pregnant women dewormed,,PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
502,AN15a,Pregnant Women tested for syphilis - First time this pregnancy,Antenatal,2.1,lWcF1YVckcA,105-AN14A_,105-AN14a_2019 Pregnant Women tested for syphilis - First time this pregnancy,105-AN14a. Preg Women tested syphilis 1st time,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
503,AN15b,Pregnant Women tested for syphilis - Newly tested Positive,Antenatal,2.1,qX9BvAXohYS,105-AN15B,"105-AN15b. Male partners tested for syphilis Tested positive (RX-1, RX-2, RX-3, +Ve-K, and +Ve)",105-AN15b. Male partners tested for syphilis - +ve,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
504,AN16a,Male partner tested for syphilis - Total Tested,Antenatal,2.1,aSlLg1v8apE,105-AN16A,105-AN16a. No. Pregnant women tested for Hepatitis B - Total Tested,105-AN16a. Pregnant women tested for HepB -Total,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
505,AN16b,Male partner tested for syphilis - Tested Positive,Antenatal,2.1,mhmGSvRwKlQ,105-AN16B,105-AN16b. No. Pregnant women tested for Hepatitis B - Tested Positive,105-AN16b. Pregnant women tested +ve HepB,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
506,AN17a,No Pregnant women tested for Hepatitis B - Total Tested,Antenatal,2.1,aSlLg1v8apE,105-AN16A,105-AN16a. No. Pregnant women tested for Hepatitis B - Total Tested,105-AN16a. Pregnant women tested for HepB -Total,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
507,AN17b,No Pregnant women tested for Hepatitis B - tested Positive,Antenatal,2.1,JFFBnljIWTT,105-AN17B,105-AN17b. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (NEG & POS) - ANC 1,105-AN17b. Pregnant newly tested for HIV at ANC1,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
508,AN18,Pregnant women newly tested for HIV in this pregnancy at any ANC visit (NEG & POS),Antenatal,2.1,uzlQdD84jNj,105-AN18A,105-AN18a. Pregnant Women tested HIV POS for 1st time this pregnancy at any ANC Visit,105-AN18a. Preg Women tested HIV+ for 1st time,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
509,AN19,Pregnant Women tested HIV POS for 1st time this pregnancy at any ANC Visit,Antenatal,2.1,VYD6SlQHBsD,105-AN19_2019,105-AN19_2019 Pregnant women who were tested for anaemia using Hb test at ANC after 36 weeks,105-AN19_2019. Pregnant women who were tested for,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
510,AN20,HIV+ Pregnant women assessed by CD4,Antenatal,2.1,gO6V4EfyAgr,105-AN31B_2019,105-AN31b_2019. HIV+ Pregnant women assessed by CD4 - ANC 1,105-AN31b_2019.HIV+ Preg women assessed CD4-ANC 1,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
511,AN21,HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV POS and HIV POS not yet started ART,Antenatal,2.1,L4pwIgSDdG6,105-AN32_2019,"105-AN32_2019 HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV+ (TRR,TRR+,TRR,TRRK)",105-AN32_2019 HIV+ preg women initiated ART eMTCT,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
512,AN22a,Pregnant Women who knew status before 1st ANC - NEG,Antenatal,2.1,rr3xZKoBXYt,105-AN21,105-AN21. Total Pregnant Women who knew status before 1st ANC,105-AN21. Pregnant Women knew status before ANC1,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
513,AN22b,Pregnant Women who knew status before 1st ANC - POS,Antenatal,2.1,rr3xZKoBXYt,105-AN21,105-AN21. Total Pregnant Women who knew status before 1st ANC,105-AN21. Pregnant Women knew status before ANC1,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
514,AN23a,Pregnant women who re-tested later in pregnancy - NEG,Antenatal,2.1,Y0Gaon8coI0,105-AN23A,105-AN23a.HIV+ pregnant women - Eligible for a Viral Load during the month,105-AN23a. HIV+ preg women - Eligible for a VL,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
515,AN23b,Pregnant women who re-tested later in pregnancy - POS,Antenatal,2.1,F9kTTMoE00R,105-AN22.,105-AN22. Pregnant women who re-tested later in pregnancy - Total,105-AN22. Pregnant women who re-tested later,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
516,AN25,Pregnant women given self-testing kits for their male partners,Antenatal,2.1,LFH8bUaself,105-LD10,105-LD10. Hepatitis E,105-LD10. Hepatitis E,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
517,AN26a,Male partners received HIV test results in eMTCT - NEG,Antenatal,2.1,oEEm7UIexXx,105-AN26a,105-AN26a HIV+ Male partners receiving ART - Known ART,105-AN26a HIV+ Male partners on ART - Known ART,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
518,AN26b,Male partners received HIV test results in eMTCT - POS,Antenatal,2.1,qiCmGJdXJ5v,105-AN26b,105-AN26b HIV+ Male partners receiving ART - Newly Initiated,105-AN26bHIV+ Male partners on ART-Newly Initiated,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
519,AN27,HIV+ Male partners initiated on ART in the ANC setting,Antenatal,2.1,Z2baA5Kr5Uz,105-MA19,105-MA19. HIV+ male partners initiated on ART in the maternity setting,105-MA19. HIV+ male started on ART in maternity,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
520,AN28,No of discordant couple identified in ANC,Antenatal,2.1,fpqDkJLzPhp,105-AN27,105-AN27. Number of discordant couple identified in ANC,105-AN27. Discordant couple identified in ANC,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
521,AN29a,Women assessed for nutrition status - Total,Antenatal,2.1,tei6iz8HFfo,105-NA01A1,105-NA01a1.Total assessed for nutrition status,105-NA01a1. Total assessed for nutrition status,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",sdgIwG0Msqj,sHKK94BX2Rp,"6-23Mths, Male"
522,AN29b,Women assessed for nutrition status - Identified malnourished - MAM,Antenatal,2.1,NviOrEByxIy,105-AN28B,105-AN28b. Women assessed for nutrition status - Identified Malnourished,105-AN28b. Women assessed-Identified Malnourished,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",VjnkaZygp2L,WWz33Y9d50G,SAM
523,AN29c,Women assessed for nutrition status - Identified malnourished - SAM,Antenatal,2.1,NviOrEByxIy,105-AN28B,105-AN28b. Women assessed for nutrition status - Identified Malnourished,105-AN28b. Women assessed-Identified Malnourished,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",VjnkaZygp2L,WWz33Y9d50G,SAM
524,AN30a,TB Screening for ANC Clients - Screened for TB,Antenatal,2.1,meW1T5n8XV0,105-AN29A,105-AN29a. TB Screening for ANC Clients-Screened for TB,105-AN29a. TB Screening for ANC Clients-Screened,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
525,AN30b,TB Screening for ANC Clients - Presumed to have TB,Antenatal,2.1,tlCReAq4tXE,105-AN29B,105-AN29b. TB Screening for ANC clients - Presumed to have TB,105-AN29b. TB Screening for ANC clients - Presumed,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
526,AN30c,TB Screening for ANC Clients - Diagnosed with TB,Antenatal,2.1,JCM6Bf7sFdB,105-AN29C,105-AN29c. TB Screening for ANC clients - Diagnosed with  TB,105-AN29c. TB Screening for ANC clients - Diagnose,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
527,AN31,HIV+ pregnant women given ARV prophylaxis for the un born infants for the 1st time in ANC,Antenatal,2.1,trSb0o79D5U,105-AN31.,105-AN31. Male partners with a known status at their first visit as a couple in ANC - Total,105-AN31. Male partners with a known status at the,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
528,AN32a,Male partners with a known status at their first visit as a couple in ANC - NEG,Antenatal,2.1,trSb0o79D5U,105-AN31.,105-AN31. Male partners with a known status at their first visit as a couple in ANC - Total,105-AN31. Male partners with a known status at the,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
529,AN32b,Male partners with a known status at their first visit as a couple in ANC - POS,Antenatal,2.1,trSb0o79D5U,105-AN31.,105-AN31. Male partners with a known status at their first visit as a couple in ANC - Total,105-AN31. Male partners with a known status at the,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
530,MA01,Admissions,Maternity,2.2,JY0M7eC2N42,105-MA01,105-MA01. Admissions,105-MA01. Admissions,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
531,MA02a,Referrals to maternity unit - Total,Maternity,2.2,AGmXoLiT89x,105-MA02A,105-MA02a. Referrals to maternity unit - Total,105-MA02a. Referrals to maternity unit - Total,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
532,MA02b,Referrals to maternity unit - From community,Maternity,2.2,TMF6CkVvMuD,105-MA02B,105-MA02b: Referrals to maternity unit - From community,105-MA02a. Referrals to maternity unit - Community,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
533,MA03,Referrals from maternity,Maternity,2.2,YNqGVS6GEyo,105-MA03,105-MA03. Referrals from maternity,105-MA03. Referrals from maternity,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
534,MA04a,Total deliveries in the unit - Below 15 Years,Maternity,2.2,idXOxt69W0e,105-MA04,105-MA04. Total deliveries in the unit,105-MA04. Total deliveries in the unit,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
535,MA04b,Total deliveries in the unit - 15-19 Years,Maternity,2.2,fEz9wGsA6YU,105-MA05A1,105-MA05a1. Births in the unit - Live births Total,105-MA05a1. Births in the unit - Live births Total,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
