id,section_name,section_id,section_item_name,section_item_code
278,Essential Medicines and Health Supplies,6.0,Fluoxetine 20mg,SS19
279,Essential Medicines and Health Supplies,6.0,Chlorpromazine 100mg,SS20
280,Essential Medicines and Health Supplies,6.0,Depot Medroxyprogesterone Acetate (DMPA) 150mg/1ml,SS21
281,Essential Medicines and Health Supplies,6.0,Amoxicillin 250mg,SS22
282,Essential Medicines and Health Supplies,6.0,Amoxicillin dispersible 125mg,SS23
283,Essential Medicines and Health Supplies,6.0,Sulfadoxine Pyrimethamine tablet 525mg,SS24
284,Essential Medicines and Health Supplies,6.0,Misoprostol 200mg,SS25
285,Essential Medicines and Health Supplies,6.0,ORS Sachets with zinc tablets,SS26
286,Essential Medicines and Health Supplies,6.0,Measles-Rubella Vaccine,SS27
287,Essential Medicines and Health Supplies,6.0,Ceftriaxone 1g Injection,SS28
288,Essential Medicines and Health Supplies,6.0,Oxytocin 10IU/1ml Injection,SS29
289,Essential Medicines and Health Supplies,6.0,Mama Kit,SS30
290,Essential Medicines and Health Supplies,6.0,Etonogestrel 68mg Implant (Implanon),SS31
291,Essential Medicines and Health Supplies,6.0,Male Condoms,SS32
292,Essential Medicines and Health Supplies,6.0,CD4 reagent (BD Prestovisitect PIMA),SS33
293,Essential Medicines and Health Supplies,6.0,Malaria Rapid Diagnostic Tests,SS34
294,Essential Medicines and Health Supplies,6.0,TB GeneXpert Cartridges,SS35
295,Essential Medicines and Health Supplies,6.0,Determine HIV (1/2 screening test),SS36
296,Essential Medicines and Health Supplies,6.0,Statpack HIV Confirmatory rapid tests,SS37
297,Essential Medicines and Health Supplies,6.0,SD Bioline test-Tie Breaker,SS38
298,Essential Medicines and Health Supplies,6.0,Blood 500ml,SS39
299,Essential Medicines and Health Supplies,6.0,Hepatitis HBsAg Test Kits,SS40
300,Essential Medicines and Health Supplies,6.0,HIV Syphilis Duo Kit,SS41
301,Essential Medicines and Health Supplies,6.0,Tenofovir Lamivudine Dolutegravir (TDF/3TC/DTG) 300mg,SS42
302,Essential Medicines and Health Supplies,6.0,Abacavir Lamivudine Dolutegravir (ABC/3TC/DTG) 600mg,SS43
303,Essential Medicines and Health Supplies,6.0,Zidovudine Lamivudine (AZT/3TC) 300mg,SS44
304,Essential Medicines and Health Supplies,6.0,Abacavir Lamivudine Dolutegravir (ABC/3TC/DTG) 120mg,SS45
305,Essential Medicines and Health Supplies,6.0,Zidovudine Lamivudine (AZT/3TC) 60mg,SS46
306,Essential Medicines and Health Supplies,6.0,Nevirapine (NVP) 50mg/5ml oral susp,SS47
307,Essential Medicines and Health Supplies,6.0,Ethambutol 400mg,SS48
308,Essential Medicines and Health Supplies,6.0,RHZE 150mg,SS49
309,Essential Medicines and Health Supplies,6.0,RHZ 150mg,SS50
310,Laboratory Tests - Hematology,10.2.1,Hb (Non automated),HE01
311,Laboratory Tests - Hematology,10.2.1,Film Comment,HE02
312,Laboratory Tests - Hematology,10.2.1,CBC,HE03
313,Laboratory Tests - Hematology,10.2.1,Reticulocyte count,HE04
314,Laboratory Tests - Hematology,10.2.1,ESR,HE05
315,Laboratory Tests - Hematology,10.2.1,Bleeding time,HE06
316,Laboratory Tests - Hematology,10.2.1,Prothrombin time,HE07
317,Laboratory Tests - Hematology,10.2.1,Clotting time,HE08
318,Laboratory Tests - Hematology,10.2.1,PT/INR,HE09
319,Laboratory Tests - Hematology,10.2.1,APTT,HE10
320,Laboratory Tests - Hematology,10.2.1,Sickle Cell,HE11
321,Laboratory Tests - Hematology,10.2.1,Others,HE12
322,Laboratory Tests - Blood Transfusion,10.2.1,AHG (Comb's Test),BT01
323,Laboratory Tests - Blood Transfusion,10.2.1,ABO Grouping,BT02
324,Laboratory Tests - Blood Transfusion,10.2.1,Rhesus Grouping,BT03
325,Laboratory Tests - Blood Transfusion,10.2.1,Cross Matching,BT04
326,Laboratory Tests - Blood Transfusion,10.2.1,Auto immune antibodies,BT05
327,Laboratory Tests - Immunology,10.2.1,CD4 test,IG01
328,Laboratory Tests - Immunology,10.2.1,TB LAM,IG02
329,Laboratory Tests - Immunology,10.2.1,CRP,IG03
330,Laboratory Tests - Immunology,10.2.1,Others,IG04
331,Laboratory Tests - Molecular,10.2.1,NAAT (Xpert/Trunat/TB LAMP) MTB+,ML01a
332,Laboratory Tests - Molecular,10.2.1,NAAT (Xpert/Trunat/TB LAMP) RR,ML01b
333,Laboratory Tests - Molecular,10.2.1,Latent TB Infection test,ML02
334,Laboratory Tests - Molecular,10.2.1,HPV,ML03
335,Laboratory Tests - Molecular,10.2.1,HIV viral load (PCR),ML04
336,Laboratory Tests - Molecular,10.2.1,Hep B Viral Load,ML05
337,Laboratory Tests - Molecular,10.2.1,EID (PCR),ML06
338,Laboratory Tests - Molecular,10.2.1,Covid (GXP/mRDT),ML07
339,Laboratory Tests - Molecular,10.2.1,Others,ML08
340,Laboratory Tests - Parasitology Blood,10.2.1,Malaria Microscopy,PS01
341,Laboratory Tests - Parasitology Blood,10.2.1,Malaria RDTs,PS02
342,Laboratory Tests - Parasitology Blood,10.2.1,Trypanosoma,PS03
343,Laboratory Tests - Parasitology Blood,10.2.1,Microfilaria,PS04
