section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,HllvX50cXC0,default
2.1,Antenatal,,,AN02,ANC 4th contacts/visits for women,RnLOFSYaAhp,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN02,ANC 4th contacts/visits for women,RnLOFSYaAhp,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN02,ANC 4th contacts/visits for women,RnLOFSYaAhp,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN02,ANC 4th contacts/visits for women,RnLOFSYaAhp,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN02,ANC 4th contacts/visits for women,RnLOFSYaAhp,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN03,ANC 8 contacts/visits for Women,xzZZOy6cmr8,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN03,ANC 8 contacts/visits for Women,xzZZOy6cmr8,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN03,ANC 8 contacts/visits for Women,xzZZOy6cmr8,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN03,ANC 8 contacts/visits for Women,xzZZOy6cmr8,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN03,ANC 8 contacts/visits for Women,xzZZOy6cmr8,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN04,Total ANC contacts/visits,PaceRdSpmgy,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN04,Total ANC contacts/visits,PaceRdSpmgy,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN04,Total ANC contacts/visits,PaceRdSpmgy,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN04,Total ANC contacts/visits,PaceRdSpmgy,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN04,Total ANC contacts/visits,PaceRdSpmgy,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN05,Referrals from community,YSqKuHTabCd,HllvX50cXC0,default
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,W82iGPT6yKo,HllvX50cXC0,default
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,DuMMAbvDfjn,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,DuMMAbvDfjn,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,DuMMAbvDfjn,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,DuMMAbvDfjn,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN06,No. of pregnant women who received IPT,DuMMAbvDfjn,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,pINrjRslNhJ,HllvX50cXC0,Blood and Rhesus Group (O) - Rhesus(O+)
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,JEguqgKb8EF,HllvX50cXC0,No. of pregnant women who were tested for blood grouping - Blood Group (O) -Rhesus O-
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,qum4x1wSYNE,HllvX50cXC0,Total ANC Referrals from unit
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,hqGqG3XbnJm,HllvX50cXC0,Blood and Rhesus Group (A) - Rhesus(A+)
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,p6NMZyBI4UP,HllvX50cXC0,ANC Referrals from unit for mothers newly enrolled in MCH groups
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,FozqVr5QFG2,HllvX50cXC0,No. of pregnant women who were tested for blood grouping - Blood Group (A) -Rhesus A-
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,mSpP96joalJ,HllvX50cXC0,Blood and Rhesus Group (B) - Rhesus(B+)
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,t6bnhabqp9j,HllvX50cXC0,No. of pregnant women who were tested for blood grouping - Blood Group (B) -Rhesus B-
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,zqCLVFtdnsF,HllvX50cXC0,Blood and Rhesus Group (AB) - Rhesus(AB+)
2.1,Antenatal,,,AN07,No. of pregnant women tested for blood grouping,BSw2fU4pgcR,HllvX50cXC0,No. of pregnant women who were tested for blood grouping - Blood Group (AB) Rhesus AB-
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN08,No. of pregnant women tested for Anaemia (Hb Test at ANC 1st Visit),Y94ON8bFTQ8,HllvX50cXC0,No. of pregnant women who were tested for Anaemia using Hb Test at ANC 1st Contact / visit
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN09,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Visit,tWWiCNRnEFO,HllvX50cXC0,No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Contact / visit
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,gXwc3cpZbVz,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,gXwc3cpZbVz,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,gXwc3cpZbVz,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,gXwc3cpZbVz,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,gXwc3cpZbVz,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,nmpvshKHVV5,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,nmpvshKHVV5,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,nmpvshKHVV5,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,nmpvshKHVV5,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN10,No. of pregnant women receiving at least 30 Tablets of ,nmpvshKHVV5,sxBbkmHxnBP,50+Yrs
